Protein1,Protein2,Class
Q6UXG3,Q7Z3Q1,0
Q86X27,Q9NVD7,0
Q8NB16,Q9Y572,1
O43731,Q6GPI1,0
O43292,Q92643,1
O75971,Q16533,1
P20809,Q14626,1
P56182,Q9BXY0,1
Q16531,Q9C0C7,1
Q969N2,Q96S52,1
O60663,Q8N1G1,0
Q5SXM2,Q92966,1
P49821,P56556,0
Q96QT6,Q9UBU8,1
Q147X3,Q5VZE5,1
A0A0B4J240,Q9C0I3,0
P07437,P68363,1
Q92643,Q96S52,1
F8WFD2,Q00994,0
Q8IZX4,Q9UKS6,0
O14521,P21912,1
P01282,P32241,1
Q02750,Q6VAB6,1
Q7Z2K6,Q8WVV4,0
O43818,Q9H5H4,0
O15160,Q9H9Y6,1
P08172,P09471,1
P62424,Q14137,1
P62837,Q96EQ8,1
P62906,Q9NVU7,1
P63096,Q92633,1
O95602,Q9GZS1,1
P01112,Q9BPZ7,1
Q13895,Q9NRX1,1
Q86VX2,Q9P000,1
Q8WTT2,Q9Y3T9,1
Q9H9Y6,Q9P1U0,1
P55854,Q9BQF6,1
Q9GZQ3,Q9Y6G5,1
P25024,P63096,1
Q6PGP7,Q9GZS3,1
A0A0B4J1Y8,O75840,0
P51671,Q8N9M5,0
Q14137,Q9Y3C1,1
Q96E16,Q9H0D2,0
Q8IY81,Q8WTT2,1
A0A0A6YYC5,Q5VVB8,0
Q0P651,Q92838,0
Q86UV6,Q8NCQ2,0
Q9Y5Q8,Q9Y5Q9,1
P82673,Q9NRX2,0
P31785,Q9HBE4,1
P63092,Q8TDV5,1
Q8IYR2,Q9UI17,0
O75916,Q9NQV5,0
P11831,Q969X2,0
Q8WVE0,Q9GIP4,0
P13349,Q9NQ87,0
Q13542,Q14154,0
P22455,Q9UEF7,1
Q6ZVN8,Q92186,0
Q9BTP7,Q9NRR5,0
P00533,P04626,1
P25106,P48061,1
Q6UWB1,Q8NEV9,1
P13945,Q99460,0
Q12829,Q9Y692,0
P12272,Q03431,1
P13500,P41597,1
P68036,Q9BYM8,1
O75529,Q9Y6J9,1
P49810,Q92542,1
Q12962,Q9Y6J9,1
Q96H22,Q9BU64,1
P10911,Q8IXV7,0
P03897,P49821,0
P22607,Q9GZV9,1
A0AVI4,P50914,0
P01258,P30988,1
Q5T653,Q96EY7,0
P18509,P41587,1
P36578,Q8TDN6,1
Q9BXY0,Q9H9Y2,1
A0A0B4J1U4,Q5T6X4,0
P01270,Q03431,1
P08238,Q16543,1
Q9BS34,Q9BZX4,0
O00258,O43681,1
Q7Z4L5,Q96FT9,1
Q8NE63,Q9NWY4,0
P22466,P47211,1
P05161,P41226,1
Q00444,Q9H8S5,0
Q12805,Q7L2J0,0
Q15700,Q86SQ6,0
Q3ZCU0,Q4G0G2,0
Q495T6,Q9P1W3,0
Q7Z7D3,Q9BZY9,0
Q9BQC6,Q9BYC8,0
O43603,Q9BT56,1
O60671,O75943,1
P49736,Q96L50,1
P61086,Q9H0F5,1
O60231,Q6P2Q9,1
Q13573,Q96DF8,1
Q96FT9,Q9P2L0,1
P19235,Q86T03,0
Q5TKA1,Q96GY3,1
Q6IPU0,Q71F23,1
Q6IF82,Q9UBC7,0
O00233,Q8NGE1,0
Q86T90,Q9GZQ8,0
P50148,Q5NUL3,1
Q4ADV7,Q9ULH1,0
P36578,P56182,1
Q4VNC1,Q99942,0
O00418,P0DP23,1
P03886,Q7Z6G3,0
Q14690,Q9BYX2,0
Q3KNT7,Q8TE04,0
Q96RY7,Q9HBG6,1
P63092,Q6QNK2,1
O14966,O60883,0
P68543,Q9NSG2,0
Q96L94,Q9BXR5,0
P08238,P53041,1
P63096,Q9UPC5,1
A0A0B4J237,Q86YF9,0
P05107,P11215,1
A5YKK6,Q9H9A5,1
P51449,Q9H6U8,0
Q92674,Q9NSP4,1
P07766,P09693,1
Q3B726,Q9NYV6,1
Q16514,Q9Y6J9,1
Q6S9Z5,Q8N3R9,0
P63096,Q5T601,1
P62837,Q99496,1
Q9UJX2,Q9UM11,1
Q9NYK5,Q9NZE8,0
P04899,Q9H244,1
P56282,Q14691,1
P68036,Q9NWF9,1
P16520,Q3KP44,0
O95876,Q9ULD6,1
P63096,Q8TDS4,1
Q13216,Q2YD98,1
O43614,P63096,1
B7U540,Q9BVQ7,0
P33992,P56282,1
Q9H0A8,Q9NX08,1
P10082,P49146,1
P63096,Q15722,1
O15550,Q9UJA5,0
Q5W0B1,Q8TDR4,0
P55884,Q8TAP8,0
Q13084,Q9P015,0
Q14197,Q8TAE8,0
Q5T653,Q8TAE8,0
Q8N5N7,Q9Y399,0
O95166,Q9NT62,1
A0A0K0K1G8,P01833,0
P29762,P60673,0
Q5T700,Q86V24,0
Q16633,Q16674,0
Q494R0,Q96DN5,0
P60059,Q8WWT9,0
P10997,P30988,1
O75947,P00846,1
P60323,Q15004,0
Q86SH2,Q8WXI9,0
P08887,P40189,1
P08913,P09471,1
P42892,Q9HBI0,0
Q8TE99,Q99638,0
P50148,Q01970,1
O95876,Q9BT04,1
Q16533,Q5SXM2,1
E5RIL1,Q16609,0
O15522,Q9Y2V0,0
Q8N813,Q96JJ7,0
Q9NYK5,Q9Y3D9,0
P35268,Q6PIL6,0
Q5T089,Q6ZN68,0
A0A1W2PS18,Q8IVF1,0
Q6P3W7,Q9H7E2,0
Q8N144,Q9Y5Q9,0
A6NNE9,O75631,0
P04554,P22612,0
P62070,Q7L592,0
P98153,Q9P2C4,0
Q6ZR37,Q9H3E2,0
P63000,Q7L576,1
O43286,Q7Z698,0
P35790,Q5BVD1,0
Q6P3X3,Q8WWW8,0
P84077,Q10567,1
O95522,Q7Z6J0,0
P28062,Q0ZGT2,0
Q2WGJ6,Q9NX76,0
Q6STE5,Q9Y5J1,0
Q6TFL4,Q969K3,0
Q8NA56,Q9BZF9,0
P32969,Q9H6F5,1
Q8WUA2,Q9P013,1
Q86X83,Q9UBI1,1
P33032,Q13185,0
Q12816,Q9UMW8,0
O76021,Q9NVP1,1
O14990,Q5VXH4,0
O00755,Q5T9L3,1
P63208,Q8N3Y1,1
Q9BV38,Q9NXF1,1
P04066,Q9UEW8,0
O60269,Q07820,0
P26038,Q6NVV0,0
P61758,Q16236,0
Q13061,Q8NGB4,0
Q68DL7,Q8N5N4,0
O76021,Q9NZM5,1
Q14213,Q6UWB1,1
A0A1B0GW35,Q5T5S1,0
O75529,Q9HBM6,1
Q13111,Q13112,1
P56211,P63151,1
P98174,Q9Y6Q3,0
Q8TBB1,Q96NR7,0
Q14137,Q9H6Y2,1
Q8IX21,Q8NDZ2,1
O76090,Q96JP0,0
Q96A65,Q9H6Y5,0
A6NEK1,Q96RA2,0
P0DP75,Q86YC3,0
Q93096,Q9Y217,0
Q6ZQN5,Q9GZT4,0
A6NDV4,P50453,0
O60806,Q13445,0
Q6ZNC4,Q9NR80,0
Q99469,Q9NZN1,0
Q5SXM2,Q9HAW0,1
Q14344,Q9HC97,1
O15482,Q9HC44,0
P02748,P07357,1
Q14213,Q8NEV9,1
A8MT69,Q02487,0
P23759,P53814,0
P36383,Q16548,0
O95833,P15529,0
P57740,Q9NPI7,0
P33992,Q07864,1
P84098,Q9H6Y2,1
Q3B726,Q9H9Y6,1
P11387,Q9P0U4,0
P24592,Q693B1,0
Q12789,Q9Y5Q8,1
P32249,P63096,1
Q14137,Q8IY81,1
Q16611,Q8NFP0,1
A0A578,P22459,0
P02818,Q9ULS5,0
Q504T8,Q99704,0
Q9HCJ0,Q9UHR6,0
P49406,Q9Y2R9,0
Q12834,Q9BVM2,0
O43674,P04554,0
P0CI01,Q6IQ22,0
Q86UF2,Q9HCU5,0
P82933,Q9NP92,0
Q09028,Q5TKA1,1
A0A075B6S4,P01112,0
Q02548,Q8IY26,0
Q13087,Q9NP77,0
Q8WU68,Q96IR3,0
P35408,P63096,1
Q9UKT4,Q9UM11,1
A0A0X1KG70,Q15111,0
Q5H9L2,Q9P104,0
Q6UWN5,Q8NA47,0
O14936,Q99811,0
O75467,Q13951,0
O75643,Q9Y5U2,1
P04424,P80188,0
P36897,Q9UGM1,0
Q8N1Q1,Q9ULV3,0
Q8TAE8,Q9HD33,0
P11169,Q5T2T1,0
O00458,Q96LZ7,0
P15085,Q8NH57,0
Q86V86,Q8NH81,0
O95561,Q8NFH4,0
Q9BYD3,Q9Y399,0
Q14137,Q8TDN6,1
Q6NXP6,Q99543,0
P01031,P10643,1
O43657,Q9Y2R0,0
Q9C086,Q9Y230,1
Q99828,Q9NNZ6,0
A6NEL2,Q9H0A0,0
P25440,Q495Y7,0
O60939,Q9UQD0,1
P10145,P25024,1
A8MYZ5,Q96G03,0
P01215,P16473,1
P62873,Q01970,1
P68036,Q96EP0,1
P63165,Q9BXI9,0
Q13421,Q8NFQ8,0
A0A539,Q58EX7,0
A1L4H1,Q8TBB5,0
Q04724,Q499Z4,0
A0A1B0GX68,Q8NEG0,0
P62256,Q9H871,1
Q12789,Q9UKN8,1
A0A576,A6NEH8,0
Q9NXL2,Q9Y5A7,0
Q04637,Q9H714,0
Q6P2Q9,Q9Y314,1
P35321,Q86VQ3,0
Q04756,Q9Y2U5,0
O94885,P61586,0
P48764,Q99653,1
O43903,P05155,0
Q9NP61,Q9Y678,0
Q96NL8,Q9NX61,0
O95267,Q9NPC8,0
Q9BY11,Q9NS37,0
O00541,P62424,1
A0A1W2PQL4,P19105,0
D6R901,Q8TBG4,0
P45452,Q9H2G9,0
P62987,Q99999,0
A0A087WT03,P54922,0
Q9H9J2,Q9NVS2,0
A0A0B4J240,Q8IYD9,0
O75306,O95169,0
P18124,P56182,1
P19484,Q7L523,1
A0A0C4DH55,P30872,0
O00750,P15863,0
Q5VZ03,Q6ZV60,0
Q96D03,Q9Y6B2,0
P49703,Q86YD7,0
Q8N6M5,Q99965,0
P40429,Q99848,1
P30550,P48061,0
O14503,O75386,0
O15529,Q15051,0
O95793,Q96EU7,0
Q8IUE0,Q9BXA5,0
P30989,Q6ZN32,0
O14744,P50895,0
Q15390,Q8N6M6,0
Q8IUB2,Q9BPZ2,0
P60852,Q8NH43,0
P62249,Q13895,1
E0CX11,P09110,0
P06702,Q330K2,0
O75419,P35443,0
O75529,Q96BN2,1
A6NI15,Q9UJU6,0
Q8NI38,Q92187,0
O15243,P60520,0
Q9BRT3,Q9Y2Q5,0
Q14693,Q969Z4,0
Q92730,Q9UPU7,0
P04899,P21554,1
A0A0B4J280,Q6ZVT6,0
O43719,Q96P09,0
P31327,Q9BYI3,0
P03372,Q96MU7,0
Q7Z4L9,Q8IWN7,0
P62750,Q9NZM5,1
O00548,Q9UI36,0
A6NJY1,Q9Y5L3,0
P01344,P59190,0
P05813,P29536,0
P41143,Q6IBS0,0
Q9HCM9,Q9UKF2,0
P46778,Q15050,1
P09086,P11229,0
O00469,Q5TBE3,0
O15056,O95876,0
O43567,Q86Y91,0
P82933,Q8TAE8,0
Q9HCS7,Q9UNP9,1
P07199,Q9BU61,0
P14866,Q9Y337,0
Q8NC60,Q92552,1
Q8NEM2,Q96N46,0
P40227,Q13885,1
Q14344,Q9Y653,1
Q06330,Q9H0F5,0
Q15696,Q86SQ6,0
O15075,P14923,0
Q5VYV0,Q96KQ4,0
O95786,Q8IUD6,1
A0A0B4J273,Q8IXJ6,0
O60244,Q9UKQ2,0
Q8WYN3,Q9H7X0,0
Q99807,Q9GZW5,0
Q13835,Q9BUE0,0
P41227,Q12982,0
Q499Y3,Q8WUJ0,0
Q8IWF2,Q9BQQ3,0
Q96RA2,Q9UBH0,0
A0A2R8YFL7,Q4LDR2,0
P48061,Q15652,0
P63096,Q9GZQ4,1
Q8NG48,Q96EY5,0
A0PJX0,Q9BZM4,0
Q3KRA9,Q9HB31,0
O75947,P18859,1
P18085,Q86WS5,0
P53779,Q9C0B9,0
Q96A70,Q9UIG0,0
P63092,Q9H255,1
A0A0B4J1U6,Q9Y3D2,0
O00270,Q9UKQ9,0
Q8TCV5,Q96D21,0
Q9BQ48,Q9BYC9,0
Q02543,Q9BVP2,1
Q14344,Q9HAR2,1
Q5TEC6,Q9HBM6,0
Q8N4L8,Q99062,0
O14867,P27469,0
P48380,Q6P9H4,0
Q12824,Q68CP9,1
A5YM69,P41223,0
A6NLJ0,Q8NGY3,0
O00294,Q9HBJ8,0
O60716,Q8N475,0
P15173,P47874,0
P41273,Q8WWH4,0
P54709,Q9NYM9,0
P62942,Q8NH63,0
Q3T8J9,Q9NR50,0
Q6UWU4,Q86YS6,0
Q86TI4,Q9P267,0
Q8N3A8,Q9Y2S6,0
Q8N6D2,Q9NXA8,0
Q14197,Q9NZE8,0
Q96EY7,Q9Y2R5,0
Q9NQ50,Q9NYK5,0
P12643,P43026,1
Q68DV7,Q96MP8,0
Q92664,Q9NP85,0
Q9UL42,Q9UP79,0
Q8IYJ0,Q9H2B2,0
Q96NE9,Q9H792,0
P35225,Q8IZ02,0
P51582,Q9Y467,0
P78348,Q9H8M9,0
Q96JC9,Q9Y446,0
Q13636,Q96GC5,0
Q6P0A1,Q9H8K7,0
P49406,Q4U2R6,0
Q6RFH5,Q9BXY0,1
O15527,Q9UMS0,0
O60911,P82251,0
Q6UWY2,Q96F85,0
A0A0G2JMI3,P02655,0
Q2PZI1,Q5TGL8,0
Q5VV17,Q8N365,0
Q9NTI5,Q9UEY8,0
O43300,Q8N3Y7,0
P03891,P03891,0
Q8N3J6,Q9UK08,0
Q8NDB6,Q8WWZ8,0
Q9NWT8,Q9NWT8,0
Q13438,Q9Y316,0
Q92994,Q9NRJ5,0
A0A1B0GWB2,Q96A33,0
Q9BXL5,Q9Y337,0
O95057,Q7Z7G2,0
P22674,P35568,0
Q6UXN2,Q9Y487,0
Q7Z3S9,Q9NWY4,0
A6NMX2,Q969R2,0
P10636,Q9BXW4,0
P30405,Q9BYQ3,0
P30405,Q9Y603,0
P34931,Q8NFI4,0
Q86UE4,Q8N386,0
Q96RQ9,Q9Y6W8,0
O95992,Q96S95,0
Q16659,Q9GZX6,0
Q6JEL2,Q9HAF1,0
Q8TCF1,Q9BU20,0
P28347,Q96K12,0
P54821,P62753,0
Q9BQC6,Q9Y2Q9,0
P09884,Q9H668,1
P82921,Q96EL3,0
P31785,Q9HBE5,1
A0A0A0MS06,Q9P1Z2,0
Q53SZ7,Q6PDA7,0
O75940,Q6ZSS3,0
P26436,Q96RS0,0
Q8NH57,Q9UPG8,0
Q96BP2,Q9Y3D9,0
Q00887,Q96J77,0
A0A0B4J262,E5RQL4,0
O14744,Q99549,0
P21709,Q9P2U7,0
Q86VZ2,Q9NP86,0
Q8IXQ9,Q9H3Y8,0
Q8WWF5,Q9Y4F5,0
O43791,P55036,0
Q7Z4N8,Q96CM8,0
Q8IW41,Q96RJ3,0
P25685,Q9Y266,1
Q7Z3K6,Q8N100,0
Q7Z601,Q9NX61,0
Q8N6N2,Q9BPV8,0
P08311,P31314,0
P10082,Q9BQ90,0
P35637,P46527,0
Q99797,Q99871,0
Q9BXJ3,Q9GZN0,0
P43234,Q15392,0
O15514,Q86XH1,0
O60330,Q9UK10,0
P03891,Q14159,0
P68106,Q14CB8,0
Q7LBE3,Q96N96,0
Q8IZP6,Q96FK6,0
A0A0A0MT87,H0Y354,0
O14526,P49711,0
O75251,Q9HCD5,0
O95760,Q9UH77,0
A0A1B0GUC4,Q9Y242,0
A0ZSE6,Q96GF1,0
A6NEH8,Q63HM9,0
Q86WQ0,Q8NGL7,0
Q8IY92,Q8WVM7,0
O60296,Q5TBB1,0
O95995,Q9H211,0
P01699,Q9H313,0
P0DN37,Q8NG76,0
Q12794,Q53GI3,0
Q5W0B1,Q96R28,0
Q7Z6L1,Q8NC42,0
Q96L21,Q9HCC8,0
A2A3K4,Q9HAT0,0
A6NNL5,Q9H553,0
O15116,Q5T5N4,0
P0CJ79,Q9ULE3,0
P42658,Q96LZ2,0
Q16627,Q969F9,0
Q86SY8,Q9NRR2,0
Q8WTS6,Q96C45,0
Q96BT3,Q9BS16,1
O94762,Q9ULC8,0
P21128,Q14761,0
Q9NUS5,Q9Y3R5,0
A0A087WSZ0,Q8N6I4,0
O95279,Q96A72,0
P18627,Q86X53,0
P23942,P49915,0
P47884,Q9Y4P3,0
P60323,Q6PEW0,0
P68371,Q8IWC1,0
P78346,Q6ZS86,0
Q6N075,Q92800,0
Q8N264,Q92628,0
O43677,Q9Y6M9,0
Q8N983,Q9P015,0
Q92643,Q9H490,1
O43237,Q6P4F1,0
P0DJ93,Q13049,0
A0A5A2,P48201,0
A6NDH6,Q9UL46,0
P05556,Q14416,0
P43357,P80098,0
Q6ZTW0,Q9Y4L1,0
Q99603,Q9Y4P8,0
P82932,Q8N983,0
P04234,Q6ZVW7,0
P22455,Q8TCT8,0
O75964,P24539,1
P30533,Q8N8Q1,0
P52815,Q8IY42,0
Q7Z5J1,Q9NRA0,0
Q8NEE8,Q9NXH3,0
Q93091,Q96MF2,0
Q8TCC3,Q9BQ48,0
A0A1B0GUS0,O75425,0
O14561,P42127,0
O15061,Q92574,0
P10911,Q8IXX5,0
P12271,Q8TF72,0
P17735,Q08752,0
P25205,Q8IZJ6,0
A0A087WV62,O95361,0
Q7RTR8,Q8IV13,0
Q8N104,Q99081,0
Q9BYD3,Q9NWT8,0
A2RU67,Q96IW7,0
P26715,Q8N743,0
P84022,Q13367,0
Q14119,Q9NX47,0
Q6UWF7,Q96N77,0
P25705,P36542,1
P54764,Q96NJ5,0
Q13257,Q7RTS7,0
Q86WR0,Q8IU99,0
P49406,Q9BYD1,0
P62508,Q1RN00,0
Q8WXU2,Q9H2B2,0
Q8WUB8,Q96GM5,1
O15055,Q8IXQ8,0
P50583,Q9H210,0
Q8IZD0,Q9UKV8,0
Q96AQ1,Q96KR4,0
P82675,Q8N983,0
O14977,Q8WWF5,0
P08962,Q8IXH8,0
P09038,P48507,0
A0A0A0MS02,Q9P2R7,0
A0A3B3IT33,Q9NRR3,0
A6NJT0,Q96LJ8,0
P04040,P54274,0
P13500,Q96R48,0
Q49A88,Q9BWN1,0
Q7Z628,Q92823,0
Q12824,Q8WUB8,1
P13631,Q5VT33,0
Q8N3C7,Q9NX57,0
Q8TAS1,Q9NSE4,0
Q9BRT3,Q9UFP1,0
P63092,Q99679,1
A0AV02,Q6ZU52,0
A9YTQ3,Q99504,0
B3EWG6,Q9BRN9,0
O43914,Q9Y4Y9,0
P11142,Q92982,0
P14867,Q9ULH4,0
P78314,Q8N987,0
Q8TEZ7,Q9C0B7,0
Q96SB4,Q9NRW7,0
Q01167,Q9Y3C6,0
Q0VGE8,Q9BPX5,0
Q15070,Q96JQ2,0
Q6ZVF9,Q96A70,0
Q8TDW4,Q9UBD6,0
P82932,Q96EL2,0
P82933,Q7Z7H8,0
P07197,Q8TE82,0
Q92562,Q9NQ31,0
O15303,P15291,0
Q13424,Q9BWW7,0
A0A539,Q13546,0
O00148,Q9NTI5,0
O43581,Q96BM9,0
P21757,Q96RR1,0
Q13233,Q86XH1,0
Q14320,Q8N9Q2,0
Q8NA70,Q9NZC2,0
Q8TC17,Q96F45,0
Q96QF7,Q9UBS8,0
Q99595,Q9Y5Y6,0
P51398,Q14197,0
Q96EL2,Q9H2W6,0
A0A1B0GX56,Q13563,0
O76083,Q96K49,0
P48061,Q8NGY7,0
P62081,Q2L4Q9,0
Q8N6H7,Q8NBR6,0
Q96EL2,Q9NX20,0
P61353,Q9NZM5,1
A1XBS5,P35609,0
A8MXT2,Q5HY92,0
P14625,Q9H7X3,0
Q9NYK5,Q9P0M9,0
A0A0B4J274,P51124,0
O75489,Q9NYW8,0
P01241,Q8NGK6,0
P10082,Q9NWR8,0
Q5VSY0,Q9BQE3,0
Q6UXP7,Q9H246,0
Q96GG9,Q96MF2,0
A0A1B0GTL2,Q9H0A9,0
D6RIA3,Q15198,0
P17927,Q15777,0
P56211,Q86WT6,0
Q16674,Q8NDD1,0
O94985,P53803,0
P59539,Q8WTQ7,0
P98077,Q9BSK4,0
Q15572,Q9Y4G2,0
Q49AA0,Q9HC52,0
Q9NP92,Q9Y399,0
P51003,Q969W0,0
Q96EL3,Q9H1C7,0
Q96NR8,Q9H4F8,0
O43586,P61574,0
P10643,Q7RTN6,0
Q4KMG0,Q7Z5M5,0
Q8IUK5,Q8N5W8,0
Q96DB5,Q9BQB6,0
Q99743,Q9UJ78,0
P62829,Q13823,1
A6NFA1,Q96GC9,0
O60258,P14598,0
O95718,P07954,0
P0CW18,Q8TC76,0
P17181,P24522,0
P78410,Q9NZJ9,0
Q6PGQ1,Q99959,0
Q8TEB9,Q9UBQ7,0
Q4U2R6,Q96EL2,0
P04234,Q96DD7,0
P98175,Q15814,0
Q13888,Q9NWY4,0
Q86X67,Q96DR7,0
Q8N0S2,Q9NX09,0
Q9P2N5,Q9UIY3,0
P33681,Q9NZQ7,1
A0A075B6L2,A6NIR3,0
D6RGX4,O75715,0
O00570,P24394,0
P05000,Q5XUX0,0
P43355,Q9NQZ3,0
