Protein1,Protein2,avg_n_models
Q9H1A4,Q9UM11,0.902
P62826,Q9UKX7,0.901
Q6ZSM3,Q8NA54,0.9
Q8NG81,Q9UBR4,0.9
P26992,Q9UBD9,0.9
Q96S52,Q9H490,0.9
Q01113,Q9NX63,0.899
O75643,Q9NZ63,0.899
Q86UE8,Q9Y294,0.899
Q15173,Q8NFU1,0.898
O75616,Q9Y2R9,0.898
P62877,Q13617,0.898
A0A087WT02,Q02383,0.897
P20042,P47813,0.897
Q15477,Q6PGP7,0.897
Q16394,Q93063,0.896
P31277,Q8NEK5,0.895
Q96NU1,Q9HBM1,0.895
A4GXA9,Q96NY9,0.895
P09471,Q16581,0.895
P49366,P63241,0.895
P61077,Q9C040,0.895
P62877,Q14999,0.895
Q9GZS1,Q9P1U0,0.895
O94782,P62987,0.894
P57081,Q9UBP6,0.894
P16473,P63092,0.893
O60779,P49841,0.891
Q12789,Q969F1,0.891
Q68CP9,Q9NPI1,0.891
O95602,P52434,0.89
P30411,P50148,0.89
Q60I27,Q9BZI1,0.889
O75380,P51970,0.889
P01876,P24071,0.889
P61254,Q9Y3C1,0.889
Q5EE01,Q96BT3,0.889
Q9BYF1,Q9NP91,0.889
Q7Z5G4,Q9Y397,0.888
A6NJ64,Q8WXB1,0.887
P00846,P24539,0.887
O00418,Q2L4Q9,0.886
Q12834,Q86W50,0.886
O75182,Q92769,0.886
O95602,Q9P1U0,0.886
Q14137,Q9NVP1,0.886
A0A0B4J277,Q9UPP2,0.885
Q01973,Q6ZT12,0.885
O95602,Q3B726,0.885
Q15650,Q8N3C0,0.885
O43502,O75771,0.884
P52948,Q99567,0.884
P59998,P61160,0.884
A0A0B4J240,Q5TGL8,0.883
O60894,P30988,0.883
P19447,Q13888,0.882
P19474,Q96B02,0.882
O15143,P59998,0.881
Q96GA3,Q9BVS4,0.881
Q16819,Q9UGM5,0.88
O00541,P62750,0.879
P18621,Q9H9Y2,0.879
Q9BS16,Q9NSP4,0.879
Q96EY5,Q96MF2,0.878
Q92674,Q9BS16,0.878
Q92674,Q9BU64,0.878
Q96H22,Q9NSP4,0.878
Q9NQ55,Q9Y3B9,0.878
Q8NCE0,Q8WW01,0.877
O75553,Q9UPZ9,0.876
Q96BK5,Q9Y4K3,0.876
O43674,O95169,0.875
Q8IXJ9,Q92560,0.875
Q13094,Q9BWG6,0.874
P56182,Q8TDN6,0.874
A0A0A0MT70,Q9UPZ9,0.873
P14314,Q14697,0.873
Q16514,Q96BN2,0.873
Q6IPU0,Q9BU64,0.873
Q8NCE0,Q9BSV6,0.873
Q9H9A5,Q9UKZ1,0.873
O94874,Q9Y3C8,0.872
Q9BUR4,Q9NX24,0.872
P57105,Q9ULK5,0.871
Q3Y452,Q9H628,0.87
Q6UXG3,Q7Z3Q1,0.87
Q86X27,Q9NVD7,0.87
Q8NB16,Q9Y572,0.87
O43731,Q6GPI1,0.869
O43292,Q92643,0.868
O75971,Q16533,0.868
P20809,Q14626,0.868
P56182,Q9BXY0,0.867
Q16531,Q9C0C7,0.867
Q969N2,Q96S52,0.866
O60663,Q8N1G1,0.865
Q5SXM2,Q92966,0.865
P49821,P56556,0.864
Q96QT6,Q9UBU8,0.864
Q147X3,Q5VZE5,0.863
A0A0B4J240,Q9C0I3,0.862
P07437,P68363,0.862
Q92643,Q96S52,0.862
F8WFD2,Q00994,0.861
Q8IZX4,Q9UKS6,0.861
O14521,P21912,0.86
P01282,P32241,0.86
Q02750,Q6VAB6,0.86
Q7Z2K6,Q8WVV4,0.859
O43818,Q9H5H4,0.858
O15160,Q9H9Y6,0.858
P08172,P09471,0.858
P62424,Q14137,0.858
P62837,Q96EQ8,0.858
P62906,Q9NVU7,0.858
P63096,Q92633,0.858
O95602,Q9GZS1,0.857
P01112,Q9BPZ7,0.857
Q13895,Q9NRX1,0.857
Q86VX2,Q9P000,0.857
Q8WTT2,Q9Y3T9,0.857
Q9H9Y6,Q9P1U0,0.857
P55854,Q9BQF6,0.856
Q9GZQ3,Q9Y6G5,0.856
P25024,P63096,0.855
Q6PGP7,Q9GZS3,0.855
A0A0B4J1Y8,O75840,0.854
P51671,Q8N9M5,0.854
Q14137,Q9Y3C1,0.854
Q96E16,Q9H0D2,0.853
Q8IY81,Q8WTT2,0.853
A0A0A6YYC5,Q5VVB8,0.852
Q0P651,Q92838,0.852
Q86UV6,Q8NCQ2,0.852
Q9Y5Q8,Q9Y5Q9,0.852
P82673,Q9NRX2,0.851
P31785,Q9HBE4,0.851
P63092,Q8TDV5,0.85
Q8IYR2,Q9UI17,0.849
O75916,Q9NQV5,0.848
P11831,Q969X2,0.848
Q8WVE0,Q9GIP4,0.848
P13349,Q9NQ87,0.847
Q13542,Q14154,0.847
P22455,Q9UEF7,0.847
Q6ZVN8,Q92186,0.846
Q9BTP7,Q9NRR5,0.846
P00533,P04626,0.846
P25106,P48061,0.846
Q6UWB1,Q8NEV9,0.846
P13945,Q99460,0.845
Q12829,Q9Y692,0.845
P12272,Q03431,0.845
P13500,P41597,0.845
P68036,Q9BYM8,0.845
O75529,Q9Y6J9,0.844
P49810,Q92542,0.844
Q12962,Q9Y6J9,0.844
Q96H22,Q9BU64,0.843
P10911,Q8IXV7,0.842
P03897,P49821,0.842
P22607,Q9GZV9,0.842
A0AVI4,P50914,0.841
P01258,P30988,0.841
Q5T653,Q96EY7,0.84
P18509,P41587,0.839
P36578,Q8TDN6,0.839
Q9BXY0,Q9H9Y2,0.839
A0A0B4J1U4,Q5T6X4,0.838
P01270,Q03431,0.838
P08238,Q16543,0.838
Q9BS34,Q9BZX4,0.837
O00258,O43681,0.837
Q7Z4L5,Q96FT9,0.837
Q8NE63,Q9NWY4,0.836
P22466,P47211,0.836
P05161,P41226,0.835
Q00444,Q9H8S5,0.833
Q12805,Q7L2J0,0.833
Q15700,Q86SQ6,0.833
Q3ZCU0,Q4G0G2,0.833
Q495T6,Q9P1W3,0.833
Q7Z7D3,Q9BZY9,0.833
Q9BQC6,Q9BYC8,0.833
O43603,Q9BT56,0.833
O60671,O75943,0.833
P49736,Q96L50,0.833
P61086,Q9H0F5,0.833
O60231,Q6P2Q9,0.832
Q13573,Q96DF8,0.832
Q96FT9,Q9P2L0,0.832
P19235,Q86T03,0.831
Q5TKA1,Q96GY3,0.831
Q6IPU0,Q71F23,0.831
Q6IF82,Q9UBC7,0.83
O00233,Q8NGE1,0.829
Q86T90,Q9GZQ8,0.829
P50148,Q5NUL3,0.829
Q4ADV7,Q9ULH1,0.828
P36578,P56182,0.828
Q4VNC1,Q99942,0.827
O00418,P0DP23,0.827
P03886,Q7Z6G3,0.825
Q14690,Q9BYX2,0.824
Q3KNT7,Q8TE04,0.823
Q96RY7,Q9HBG6,0.823
P63092,Q6QNK2,0.822
O14966,O60883,0.821
P68543,Q9NSG2,0.821
Q96L94,Q9BXR5,0.818
P08238,P53041,0.818
P63096,Q9UPC5,0.818
A0A0B4J237,Q86YF9,0.817
P05107,P11215,0.817
A5YKK6,Q9H9A5,0.815
P51449,Q9H6U8,0.814
Q92674,Q9NSP4,0.814
P07766,P09693,0.812
Q3B726,Q9NYV6,0.812
Q16514,Q9Y6J9,0.811
Q6S9Z5,Q8N3R9,0.808
P63096,Q5T601,0.808
P62837,Q99496,0.807
Q9UJX2,Q9UM11,0.807
Q9NYK5,Q9NZE8,0.806
P04899,Q9H244,0.806
P56282,Q14691,0.806
P68036,Q9NWF9,0.806
P16520,Q3KP44,0.805
O95876,Q9ULD6,0.805
P63096,Q8TDS4,0.805
Q13216,Q2YD98,0.805
O43614,P63096,0.804
B7U540,Q9BVQ7,0.803
P33992,P56282,0.803
Q9H0A8,Q9NX08,0.803
P10082,P49146,0.802
P63096,Q15722,0.802
O15550,Q9UJA5,0.801
Q5W0B1,Q8TDR4,0.801
P55884,Q8TAP8,0.8
Q13084,Q9P015,0.8
Q14197,Q8TAE8,0.8
Q5T653,Q8TAE8,0.8
Q8N5N7,Q9Y399,0.8
O95166,Q9NT62,0.799
A0A0K0K1G8,P01833,0.798
P29762,P60673,0.798
Q5T700,Q86V24,0.798
Q16633,Q16674,0.797
Q494R0,Q96DN5,0.797
P60059,Q8WWT9,0.796
P10997,P30988,0.796
O75947,P00846,0.794
P60323,Q15004,0.792
Q86SH2,Q8WXI9,0.792
P08887,P40189,0.79
P08913,P09471,0.79
P42892,Q9HBI0,0.789
Q8TE99,Q99638,0.789
P50148,Q01970,0.789
O95876,Q9BT04,0.788
Q16533,Q5SXM2,0.788
E5RIL1,Q16609,0.787
O15522,Q9Y2V0,0.787
Q8N813,Q96JJ7,0.787
Q9NYK5,Q9Y3D9,0.787
P35268,Q6PIL6,0.786
Q5T089,Q6ZN68,0.786
A0A1W2PS18,Q8IVF1,0.784
Q6P3W7,Q9H7E2,0.784
Q8N144,Q9Y5Q9,0.784
A6NNE9,O75631,0.783
P04554,P22612,0.782
P62070,Q7L592,0.782
P98153,Q9P2C4,0.782
Q6ZR37,Q9H3E2,0.782
P63000,Q7L576,0.782
O43286,Q7Z698,0.781
P35790,Q5BVD1,0.781
Q6P3X3,Q8WWW8,0.781
P84077,Q10567,0.779
O95522,Q7Z6J0,0.778
P28062,Q0ZGT2,0.778
Q2WGJ6,Q9NX76,0.778
Q6STE5,Q9Y5J1,0.778
Q6TFL4,Q969K3,0.778
Q8NA56,Q9BZF9,0.778
P32969,Q9H6F5,0.778
Q8WUA2,Q9P013,0.778
Q86X83,Q9UBI1,0.777
P33032,Q13185,0.776
Q12816,Q9UMW8,0.776
O76021,Q9NVP1,0.776
O14990,Q5VXH4,0.774
O00755,Q5T9L3,0.774
P63208,Q8N3Y1,0.774
Q9BV38,Q9NXF1,0.774
P04066,Q9UEW8,0.773
O60269,Q07820,0.771
P26038,Q6NVV0,0.771
P61758,Q16236,0.77
Q13061,Q8NGB4,0.77
Q68DL7,Q8N5N4,0.77
O76021,Q9NZM5,0.77
Q14213,Q6UWB1,0.77
A0A1B0GW35,Q5T5S1,0.769
O75529,Q9HBM6,0.769
Q13111,Q13112,0.769
P56211,P63151,0.768
P98174,Q9Y6Q3,0.767
Q8TBB1,Q96NR7,0.767
Q14137,Q9H6Y2,0.766
Q8IX21,Q8NDZ2,0.765
O76090,Q96JP0,0.763
Q96A65,Q9H6Y5,0.763
A6NEK1,Q96RA2,0.762
P0DP75,Q86YC3,0.762
Q93096,Q9Y217,0.761
Q6ZQN5,Q9GZT4,0.759
A6NDV4,P50453,0.758
O60806,Q13445,0.758
Q6ZNC4,Q9NR80,0.758
Q99469,Q9NZN1,0.758
Q5SXM2,Q9HAW0,0.758
Q14344,Q9HC97,0.757
O15482,Q9HC44,0.755
P02748,P07357,0.755
Q14213,Q8NEV9,0.755
A8MT69,Q02487,0.754
P23759,P53814,0.754
P36383,Q16548,0.754
O95833,P15529,0.753
P57740,Q9NPI7,0.753
P33992,Q07864,0.753
P84098,Q9H6Y2,0.753
Q3B726,Q9H9Y6,0.753
P11387,Q9P0U4,0.752
P24592,Q693B1,0.752
Q12789,Q9Y5Q8,0.752
P32249,P63096,0.751
Q14137,Q8IY81,0.751
Q16611,Q8NFP0,0.751
A0A578,P22459,0.75
P02818,Q9ULS5,0.75
Q504T8,Q99704,0.75
Q9HCJ0,Q9UHR6,0.75
P49406,Q9Y2R9,0.75
Q12834,Q9BVM2,0.749
O43674,P04554,0.748
P0CI01,Q6IQ22,0.748
Q86UF2,Q9HCU5,0.748
P82933,Q9NP92,0.747
Q09028,Q5TKA1,0.747
A0A075B6S4,P01112,0.745
Q02548,Q8IY26,0.745
Q13087,Q9NP77,0.745
Q8WU68,Q96IR3,0.745
P35408,P63096,0.745
Q9UKT4,Q9UM11,0.745
A0A0X1KG70,Q15111,0.744
Q5H9L2,Q9P104,0.744
Q6UWN5,Q8NA47,0.744
O14936,Q99811,0.743
O75467,Q13951,0.742
O75643,Q9Y5U2,0.742
P04424,P80188,0.741
P36897,Q9UGM1,0.741
Q8N1Q1,Q9ULV3,0.741
Q8TAE8,Q9HD33,0.741
P11169,Q5T2T1,0.74
O00458,Q96LZ7,0.738
P15085,Q8NH57,0.738
Q86V86,Q8NH81,0.738
O95561,Q8NFH4,0.737
Q9BYD3,Q9Y399,0.737
Q14137,Q8TDN6,0.737
Q6NXP6,Q99543,0.736
P01031,P10643,0.736
O43657,Q9Y2R0,0.735
Q9C086,Q9Y230,0.735
Q99828,Q9NNZ6,0.734
A6NEL2,Q9H0A0,0.733
P25440,Q495Y7,0.733
O60939,Q9UQD0,0.733
P10145,P25024,0.733
A8MYZ5,Q96G03,0.732
P01215,P16473,0.732
P62873,Q01970,0.732
P68036,Q96EP0,0.732
P63165,Q9BXI9,0.731
Q13421,Q8NFQ8,0.731
A0A539,Q58EX7,0.73
A1L4H1,Q8TBB5,0.73
Q04724,Q499Z4,0.73
A0A1B0GX68,Q8NEG0,0.729
P62256,Q9H871,0.729
Q12789,Q9UKN8,0.729
A0A576,A6NEH8,0.728
Q9NXL2,Q9Y5A7,0.728
Q04637,Q9H714,0.727
Q6P2Q9,Q9Y314,0.727
P35321,Q86VQ3,0.726
Q04756,Q9Y2U5,0.726
O94885,P61586,0.724
P48764,Q99653,0.722
O43903,P05155,0.721
Q9NP61,Q9Y678,0.721
Q96NL8,Q9NX61,0.72
O95267,Q9NPC8,0.719
Q9BY11,Q9NS37,0.719
O00541,P62424,0.719
A0A1W2PQL4,P19105,0.718
D6R901,Q8TBG4,0.718
P45452,Q9H2G9,0.718
P62987,Q99999,0.718
A0A087WT03,P54922,0.717
Q9H9J2,Q9NVS2,0.717
A0A0B4J240,Q8IYD9,0.716
O75306,O95169,0.716
P18124,P56182,0.716
P19484,Q7L523,0.716
A0A0C4DH55,P30872,0.714
O00750,P15863,0.714
Q5VZ03,Q6ZV60,0.714
Q96D03,Q9Y6B2,0.713
P49703,Q86YD7,0.712
Q8N6M5,Q99965,0.712
P40429,Q99848,0.712
P30550,P48061,0.711
O14503,O75386,0.71
O15529,Q15051,0.71
O95793,Q96EU7,0.71
Q8IUE0,Q9BXA5,0.71
P30989,Q6ZN32,0.709
O14744,P50895,0.708
Q15390,Q8N6M6,0.708
Q8IUB2,Q9BPZ2,0.708
P60852,Q8NH43,0.707
P62249,Q13895,0.707
E0CX11,P09110,0.706
P06702,Q330K2,0.706
O75419,P35443,0.705
O75529,Q96BN2,0.705
A6NI15,Q9UJU6,0.704
Q8NI38,Q92187,0.704
O15243,P60520,0.703
Q9BRT3,Q9Y2Q5,0.703
Q14693,Q969Z4,0.702
Q92730,Q9UPU7,0.702
P04899,P21554,0.702
A0A0B4J280,Q6ZVT6,0.701
O43719,Q96P09,0.701
P31327,Q9BYI3,0.701
P03372,Q96MU7,0.7
Q7Z4L9,Q8IWN7,0.7
P62750,Q9NZM5,0.7
O00548,Q9UI36,0.699
A6NJY1,Q9Y5L3,0.698
P01344,P59190,0.698
P05813,P29536,0.698
P41143,Q6IBS0,0.698
Q9HCM9,Q9UKF2,0.698
P46778,Q15050,0.698
P09086,P11229,0.697
O00469,Q5TBE3,0.696
O15056,O95876,0.696
O43567,Q86Y91,0.696
P82933,Q8TAE8,0.696
Q9HCS7,Q9UNP9,0.696
P07199,Q9BU61,0.694
P14866,Q9Y337,0.693
Q8NC60,Q92552,0.693
Q8NEM2,Q96N46,0.692
P40227,Q13885,0.691
Q14344,Q9Y653,0.691
Q06330,Q9H0F5,0.69
Q15696,Q86SQ6,0.69
O15075,P14923,0.689
Q5VYV0,Q96KQ4,0.688
O95786,Q8IUD6,0.688
A0A0B4J273,Q8IXJ6,0.686
O60244,Q9UKQ2,0.685
Q8WYN3,Q9H7X0,0.685
Q99807,Q9GZW5,0.685
Q13835,Q9BUE0,0.683
P41227,Q12982,0.681
Q499Y3,Q8WUJ0,0.681
Q8IWF2,Q9BQQ3,0.681
Q96RA2,Q9UBH0,0.681
A0A2R8YFL7,Q4LDR2,0.68
P48061,Q15652,0.68
P63096,Q9GZQ4,0.68
Q8NG48,Q96EY5,0.679
A0PJX0,Q9BZM4,0.678
Q3KRA9,Q9HB31,0.678
O75947,P18859,0.678
P18085,Q86WS5,0.677
P53779,Q9C0B9,0.677
Q96A70,Q9UIG0,0.675
P63092,Q9H255,0.675
A0A0B4J1U6,Q9Y3D2,0.674
O00270,Q9UKQ9,0.674
Q8TCV5,Q96D21,0.674
Q9BQ48,Q9BYC9,0.674
Q02543,Q9BVP2,0.674
Q14344,Q9HAR2,0.673
Q5TEC6,Q9HBM6,0.672
Q8N4L8,Q99062,0.672
O14867,P27469,0.671
P48380,Q6P9H4,0.67
Q12824,Q68CP9,0.669
A5YM69,P41223,0.667
A6NLJ0,Q8NGY3,0.667
O00294,Q9HBJ8,0.667
O60716,Q8N475,0.667
P15173,P47874,0.667
P41273,Q8WWH4,0.667
P54709,Q9NYM9,0.667
P62942,Q8NH63,0.667
Q3T8J9,Q9NR50,0.667
Q6UWU4,Q86YS6,0.667
Q86TI4,Q9P267,0.667
Q8N3A8,Q9Y2S6,0.667
Q8N6D2,Q9NXA8,0.667
Q14197,Q9NZE8,0.667
Q96EY7,Q9Y2R5,0.667
Q9NQ50,Q9NYK5,0.667
P12643,P43026,0.666
Q68DV7,Q96MP8,0.662
Q92664,Q9NP85,0.662
Q9UL42,Q9UP79,0.662
Q8IYJ0,Q9H2B2,0.661
Q96NE9,Q9H792,0.661
P35225,Q8IZ02,0.66
P51582,Q9Y467,0.66
P78348,Q9H8M9,0.66
Q96JC9,Q9Y446,0.66
Q13636,Q96GC5,0.659
Q6P0A1,Q9H8K7,0.659
P49406,Q4U2R6,0.659
Q6RFH5,Q9BXY0,0.659
O15527,Q9UMS0,0.658
O60911,P82251,0.658
Q6UWY2,Q96F85,0.658
A0A0G2JMI3,P02655,0.657
Q2PZI1,Q5TGL8,0.657
Q5VV17,Q8N365,0.657
Q9NTI5,Q9UEY8,0.657
O43300,Q8N3Y7,0.655
P03891,P03891,0.655
Q8N3J6,Q9UK08,0.653
Q8NDB6,Q8WWZ8,0.653
Q9NWT8,Q9NWT8,0.653
Q13438,Q9Y316,0.652
Q92994,Q9NRJ5,0.652
A0A1B0GWB2,Q96A33,0.651
Q9BXL5,Q9Y337,0.651
O95057,Q7Z7G2,0.65
P22674,P35568,0.65
Q6UXN2,Q9Y487,0.65
Q7Z3S9,Q9NWY4,0.65
A6NMX2,Q969R2,0.648
P10636,Q9BXW4,0.648
P30405,Q9BYQ3,0.648
P30405,Q9Y603,0.648
P34931,Q8NFI4,0.648
Q86UE4,Q8N386,0.648
Q96RQ9,Q9Y6W8,0.648
O95992,Q96S95,0.647
Q16659,Q9GZX6,0.647
Q6JEL2,Q9HAF1,0.647
Q8TCF1,Q9BU20,0.647
P28347,Q96K12,0.646
P54821,P62753,0.646
Q9BQC6,Q9Y2Q9,0.646
P09884,Q9H668,0.646
P82921,Q96EL3,0.645
P31785,Q9HBE5,0.645
A0A0A0MS06,Q9P1Z2,0.644
Q53SZ7,Q6PDA7,0.644
O75940,Q6ZSS3,0.643
P26436,Q96RS0,0.643
Q8NH57,Q9UPG8,0.643
Q96BP2,Q9Y3D9,0.643
Q00887,Q96J77,0.642
A0A0B4J262,E5RQL4,0.641
O14744,Q99549,0.641
P21709,Q9P2U7,0.641
Q86VZ2,Q9NP86,0.641
Q8IXQ9,Q9H3Y8,0.641
Q8WWF5,Q9Y4F5,0.641
O43791,P55036,0.64
Q7Z4N8,Q96CM8,0.64
Q8IW41,Q96RJ3,0.64
P25685,Q9Y266,0.64
Q7Z3K6,Q8N100,0.639
Q7Z601,Q9NX61,0.639
Q8N6N2,Q9BPV8,0.639
P08311,P31314,0.638
P10082,Q9BQ90,0.638
P35637,P46527,0.638
Q99797,Q99871,0.638
Q9BXJ3,Q9GZN0,0.638
P43234,Q15392,0.637
O15514,Q86XH1,0.636
O60330,Q9UK10,0.636
P03891,Q14159,0.636
P68106,Q14CB8,0.636
Q7LBE3,Q96N96,0.636
Q8IZP6,Q96FK6,0.636
A0A0A0MT87,H0Y354,0.635
O14526,P49711,0.635
O75251,Q9HCD5,0.635
O95760,Q9UH77,0.635
A0A1B0GUC4,Q9Y242,0.634
A0ZSE6,Q96GF1,0.634
A6NEH8,Q63HM9,0.634
Q86WQ0,Q8NGL7,0.634
Q8IY92,Q8WVM7,0.634
O60296,Q5TBB1,0.633
O95995,Q9H211,0.633
P01699,Q9H313,0.633
P0DN37,Q8NG76,0.633
Q12794,Q53GI3,0.633
Q5W0B1,Q96R28,0.633
Q7Z6L1,Q8NC42,0.633
Q96L21,Q9HCC8,0.633
A2A3K4,Q9HAT0,0.632
A6NNL5,Q9H553,0.632
O15116,Q5T5N4,0.632
P0CJ79,Q9ULE3,0.632
P42658,Q96LZ2,0.632
Q16627,Q969F9,0.632
Q86SY8,Q9NRR2,0.632
Q8WTS6,Q96C45,0.632
Q96BT3,Q9BS16,0.632
O94762,Q9ULC8,0.631
P21128,Q14761,0.631
Q9NUS5,Q9Y3R5,0.631
A0A087WSZ0,Q8N6I4,0.63
O95279,Q96A72,0.63
P18627,Q86X53,0.63
P23942,P49915,0.63
P47884,Q9Y4P3,0.63
P60323,Q6PEW0,0.63
P68371,Q8IWC1,0.63
P78346,Q6ZS86,0.63
Q6N075,Q92800,0.63
Q8N264,Q92628,0.63
O43677,Q9Y6M9,0.63
Q8N983,Q9P015,0.63
Q92643,Q9H490,0.63
O43237,Q6P4F1,0.628
P0DJ93,Q13049,0.628
A0A5A2,P48201,0.627
A6NDH6,Q9UL46,0.627
P05556,Q14416,0.627
P43357,P80098,0.627
Q6ZTW0,Q9Y4L1,0.627
Q99603,Q9Y4P8,0.627
P82932,Q8N983,0.627
P04234,Q6ZVW7,0.626
P22455,Q8TCT8,0.626
O75964,P24539,0.626
P30533,Q8N8Q1,0.625
P52815,Q8IY42,0.625
Q7Z5J1,Q9NRA0,0.625
Q8NEE8,Q9NXH3,0.625
Q93091,Q96MF2,0.625
Q8TCC3,Q9BQ48,0.625
A0A1B0GUS0,O75425,0.624
O14561,P42127,0.624
O15061,Q92574,0.624
P10911,Q8IXX5,0.624
P12271,Q8TF72,0.624
P17735,Q08752,0.624
P25205,Q8IZJ6,0.624
A0A087WV62,O95361,0.623
Q7RTR8,Q8IV13,0.623
Q8N104,Q99081,0.623
Q9BYD3,Q9NWT8,0.623
A2RU67,Q96IW7,0.622
P26715,Q8N743,0.622
P84022,Q13367,0.622
Q14119,Q9NX47,0.622
Q6UWF7,Q96N77,0.622
P25705,P36542,0.622
P54764,Q96NJ5,0.621
Q13257,Q7RTS7,0.621
Q86WR0,Q8IU99,0.621
P49406,Q9BYD1,0.621
P62508,Q1RN00,0.62
